timestamp	stage	hwnd	class	text
2026-08-21 13:33:43	before	331180	Edit	2199ESB
2026-08-21 13:33:43	before	331196	Edit	1
2026-08-21 13:33:43	before	331198	Edit	High scan 1 Scanned Flash Saving param
2026-08-21 13:33:43	before	331202	Edit	08-D, Bin7, 1920M,CE:1 [A], ID:2C44444BA9
2026-08-21 13:33:43	before	331204	Static	IC Type:
2026-08-21 13:33:43	before	724538	Static	Settings:
2026-08-21 13:33:43	before	724828	Static	Eject Info:
2026-08-21 13:33:43	before	855540	Static	2199EST
2026-08-21 13:33:43	before	1248796	Static	Count:
2026-08-21 13:33:43	before	2231972	Static	Other
2026-08-21 13:33:43	before	1117862	Static	2199S
2026-08-21 13:33:43	before	1377768	Static	2199EB
2026-08-21 13:33:43	before	331178	Static	2199ESB
2026-08-21 13:33:43	before	331186	Static	2199ES
2026-08-21 13:33:43	before	331210	Static	2199EE
2026-08-21 13:33:43	before	1639986	Button	01
2026-08-21 13:33:43	before	331174	msctls_progress32	Progress1
2026-08-21 13:33:43	before	265622	Button	02
2026-08-21 13:33:43	before	265620	msctls_progress32	Bin7, 1920
2026-08-21 13:33:43	before	265618	Edit	Bin7, 1920M(2142M),CE:1 [A]
2026-08-21 13:33:43	before	328820	Edit	ID:2C44444BA9
2026-08-21 13:33:43	before	656708	Edit	MT29F32G08CBABA
2026-08-21 13:33:43	before	459986	msctls_progress32	S
2026-08-21 13:33:43	before	852752	msctls_progress32	Progress1
2026-08-21 13:33:43	before	1115836	Button	03
2026-08-21 13:33:43	before	3081734	msctls_progress32	Bin7, 1920
2026-08-21 13:33:43	before	1574364	Edit	Bin7, 1920M(2087M),CE:1 [A]
2026-08-21 13:33:43	before	459498	Edit	ID:2C44444BA9
2026-08-21 13:33:43	before	393956	Edit	MT29F32G08CBABA
2026-08-21 13:33:43	before	393706	msctls_progress32	S
2026-08-21 13:33:43	before	655624	msctls_progress32	Progress1
2026-08-21 13:33:43	before	459846	Button	04-D
2026-08-21 13:33:43	before	2295858	msctls_progress32	Bin8, 960M
2026-08-21 13:33:43	before	1443440	Edit	Bin8, 960M,CE:1 [A]
2026-08-21 13:33:43	before	394336	Edit	ID:2C68044AA9
2026-08-21 13:33:43	before	524938	Edit	MT29F32G08CBAAA
2026-08-21 13:33:43	before	591486	msctls_progress32	S
2026-08-21 13:33:43	before	1508618	msctls_progress32	Progress1
2026-08-21 13:33:43	before	265630	Button	05
2026-08-21 13:33:43	before	265602	msctls_progress32	Bin7, 1920
2026-08-21 13:33:43	before	265600	Edit	Bin7, 1920M(2144M),CE:1 [A]
2026-08-21 13:33:43	before	265598	Edit	ID:2C44444BA9
2026-08-21 13:33:43	before	265596	Edit	MT29F32G08CBABA
2026-08-21 13:33:43	before	265592	msctls_progress32	S
2026-08-21 13:33:43	before	265590	msctls_progress32	Progress1
2026-08-21 13:33:43	before	265576	Button	06
