,Title,Sortable Name,SKU,ISBN,MPN,Title Hint,Author,Author Hint,Narrator,Master Created,Status,Duration,Web link,Publisher,Length,Noteriety,Score,Price,Ex VAT,Price adjustent,SPPrice,Age_lower,Age_upper,Category 1,Category 2,Category 3,Language,Abridged,Advance,Royalty,Published (on our website)
100001,Alice's Adventures In Wonderland,Alice's Adventures In Wonderland,BK-43014-LCAA,9781915443014,B01-GF-01-100001,AA,Lewis Carroll,LC,Fiona Shaw,y,Live,2:23,http://voxblock.info/p/B01/GF/1/100001,Naxos,2,4,6,£5.99,£4.99,Classic,5.99,5,12,Family Favourites,,,English,,£0,0.2,27/06/2022
100002,Anne Of Green Gables,Anne Of Green Gables,BK-43021-LMGG,9781915443021,B01-GF-01-100002,GG,L.M. Montgomery,LM,Liza Ross,y,Live,2:37,http://voxblock.info/p/B01/GF/1/100002,Naxos,3,3,6,£11.99,£9.99,,9.99,5,12,Family Favourites,,,English,,£0,0.2,27/06/2022
100003,Black Beauty,Black Beauty,BK-43038-ASBB,9781915443038,B01-GF-01-100003,BB,Anna Sewell,AS,Jonathan Keeble,y,Live,2:12,http://voxblock.info/p/B01/GF/1/100003,Naxos,2,4,6,£11.99,£9.99,,9.99,5,12,Family Favourites,,,English,,£0,0.2,27/06/2022
100004,Great Scientists And Their Discoveries,Great Scientists And Their Discoveries,BK-43045-DAGS,9781915443045,B01-GF-01-100004,GS,David Angus,DA,Benjamin Soames & Clare Corbett,y,Live,2:25,http://voxblock.info/p/B01/GF/1/100004,Naxos,2,2,4,£5.99,£4.99,Learning,5.99,5,12,Facts & Learning,,,English,,£0,0.2,27/06/2022
100005,Gulliver's Travels: Retold for Younger Listeners,Gulliver's Travels: Retold for Younger Listeners,BK-43052-JSGT,9781915443052,B01-GF-01-100005,GT,Jonathan Swift & Roy Mcmillan,JS,Benjamin Soames ,y,Live,2:19,http://voxblock.info/p/B01/GF/1/100005,Naxos,2,3,5,£10.99,£9.16,,9.99,5,12,Family Favourites,,,English,,£0,0.2,27/06/2022
100006,King Arthur And The Knights Of The Round Table,King Arthur And Knights Of The Round Table,BK-43069-BFKA,9781915443069,B01-GF-01-100006,KA,Benedict Flynn,BF,Sean Bean,y,Live,2:29,http://voxblock.info/p/B01/GF/1/100006,Naxos,2,3,5,£5.99,£4.99,Classic,5.99,5,12,Family Favourites,,,English,,£0,0.2,27/06/2022
100007,Oliver Twist: Retold For Younger Listeners,Oliver Twist: Retold For Younger Listeners,BK-43076-CDOT,9781915443076,B01-GF-01-100007,OT,Charles Dickens & Roy Mcmillan,CD,Jonathan Keeble,y,Live,2:23,http://voxblock.info/p/B01/GF/1/100007,Naxos,2,4,6,£7.99,£6.66,Classic,9.99,5,12,Family Favourites,,,English,,£0,0.2,27/06/2022
100008,Peter Pan,Peter Pan,BK-43083-JMPP,9781915443083,B01-GF-01-100008,PP,J.M. Barrie,JM,Samuel West,y,Live,2:31,http://voxblock.info/p/B01/GF/1/100008,Naxos,3,4,7,£5.99,£4.99,Classic,5.99,5,12,Family Favourites,Fairies & Unicorns,,English,,£0,0.2,27/06/2022
100009,Pinocchio,Pinocchio,BK-43090-CCPI,9781915443090,B01-GF-01-100009,PI,Carlo Collodi,CC,John Sessions,y,Live,2:38,http://voxblock.info/p/B01/GF/1/100009,Naxos,3,3,6,£11.99,£9.99,,9.99,5,12,Family Favourites,,,English,,£0,0.2,27/06/2022
100010,Robin Hood,Robin Hood,BK-43106-BFRH,9781915443106,B01-GF-01-100010,RH,Benedict Flynn,BF,John Mcandrew,y,Live,2:19,http://voxblock.info/p/B01/GF/1/100010,Naxos,2,3,5,£10.99,£9.16,,9.99,5,12,Family Favourites,,,English,,£0,0.2,27/06/2022
100011,Robinson Crusoe: Retold for Younger Listeners,Robinson Crusoe: Retold for Younger Listeners,BK-43113-DDRC,9781915443113,B01-GF-01-100011,RC,Daniel Defoe & Roy Mcmillan,DD,Jonathan Keeble,y,Live,2:19,http://voxblock.info/p/B01/GF/1/100011,Naxos,2,3,5,£10.99,£9.16,,9.99,5,12,Family Favourites,,,English,,£0,0.2,27/06/2022
